caldt,T-bill,Mkt Index,Your Portfolio
20131202,0,-0.31,-0.25
20131203,0,-0.34,-0.658
20131204,0,-0.07,-0.202
20131205,0,-0.35,0.196
20131206,0,1.02,1.05
20131209,0,0.17,-0.004
20131210,0,-0.34,-0.364
20131211,0,-1.16,-1.466
20131212,0,-0.23,-0.02
20131213,0,0.1,0.358
20131216,0,0.67,0.754
20131217,0,-0.26,-0.206
20131218,0,1.55,1.628
20131219,0,-0.1,-0.274
20131220,0,0.69,1.104
20131223,0,0.62,0.572
20131224,0,0.34,0.16
20131226,0,0.44,0.746
20131227,0,-0.05,-0.692
20131230,0,0,0.144
20131231,0,0.44,0.446
20140102,0,-0.88,-0.988
20140103,0,0.03,0.15
20140106,0,-0.34,-0.562
20140107,0,0.68,1.256
20140108,0,0.04,0.496
20140109,0,0.02,0.722
20140110,0,0.27,0.636
20140113,0,-1.32,-1.692
20140114,0,1.15,1.708
20140115,0,0.53,0.224
20140116,0,-0.07,0.308
20140117,0,-0.39,-0.42
20140121,0,0.3,0.27
20140122,0,0.15,0.198
20140123,0,-0.86,-0.866
20140124,0,-2.19,-2.91
20140127,0,-0.65,-1.256
20140128,0,0.73,1.246
20140129,0,-1.07,-1.538
20140130,0,1.22,2.216
20140131,0,-0.66,-0.372
20140203,0,-2.48,-3.17
20140204,0,0.77,1.094
20140205,0,-0.23,-0.416
20140206,0,1.21,1.138
20140207,0,1.33,2.098
20140210,0,0.16,0.382
20140211,0,1.09,0.97
20140212,0,0.11,0.308
20140213,0,0.72,0.996
20140214,0,0.42,0.018
20140218,0,0.27,0.864
20140219,0,-0.74,-0.704
20140220,0,0.7,1.084
20140221,0,-0.09,0.084
20140224,0,0.65,0.734
20140225,0,-0.1,0.344
20140226,0,0.12,0.132
20140227,0,0.54,0.576
20140228,0,0.15,-0.522
20140303,0,-0.7,-0.82
20140304,0,1.67,2.234
20140305,0,0.01,0.04
20140306,0,0.16,-0.602
20140307,0,0.04,-0.398
20140310,0,-0.09,-0.12
20140311,0,-0.62,-0.56
20140312,0,0.13,0.202
20140313,0,-1.21,-1.564
20140314,0,-0.16,-0.214
20140317,0,0.9,1.062
20140318,0,0.82,1.378
20140319,0,-0.59,-1.022
20140320,0,0.52,-0.188
20140321,0,-0.37,-1.582
20140324,0,-0.64,-1.84
20140325,0,0.3,0.078
20140326,0,-0.89,-1.592
20140327,0,-0.19,-0.316
20140328,0,0.41,-0.178
20140331,0,0.97,1.474
20140401,0,0.87,1.71
20140402,0,0.29,0.158
20140403,0,-0.31,-1.426
20140404,0,-1.47,-2.934
20140407,0,-1.26,-1.872
20140408,0,0.5,0.566
20140409,0,1.2,2.592
20140410,0,-2.24,-3.884
20140411,0,-1.07,-1.568
20140414,0,0.7,0.46
20140415,0,0.59,0.494
20140416,0,1.13,1.976
20140417,0,0.23,0.26
20140421,0,0.36,0.72
20140422,0,0.58,1.228
20140423,0,-0.31,-1.024
20140424,0,0.08,-0.136
20140425,0,-1.05,-2.196
20140428,0,0.11,-0.238
20140429,0,0.56,1.1
20140430,0,0.35,0.704
20140501,0,0.04,0.202
20140502,0,-0.07,-0.196
20140505,0,0.13,0.694
20140506,0,-1.03,-1.378
20140507,0,0.45,-0.36
20140508,0,-0.26,-0.836
20140509,0,0.25,0.376
20140512,0,1.2,1.92
20140513,0,-0.05,-0.26
20140514,0,-0.6,-0.6
20140515,0,-0.9,-0.906
20140516,0,0.36,0.492
20140519,0,0.5,0.914
20140520,0,-0.78,-0.87
20140521,0,0.81,1.044
20140522,0,0.36,0.558
20140523,0,0.49,0.886
20140527,0,0.69,1.098
20140528,0,-0.11,-0.158
20140529,0,0.54,0.768
20140530,0,0.06,-0.12
20140602,0,0.06,-0.036
20140603,0,-0.05,-0.044
20140604,0,0.28,0.544
20140605,0,0.77,0.794
20140606,0,0.54,0.408
20140609,0,0.22,0.154
20140610,0,-0.03,-0.09
20140611,0,-0.34,-0.04
20140612,0,-0.68,-0.938
20140613,0,0.31,0.376
20140616,0,0.13,0.592
20140617,0,0.34,0.04
20140618,0,0.75,0.858
20140619,0,0.12,0.21
20140620,0,0.18,0.372
20140623,0,-0.01,-0.154
20140624,0,-0.72,-0.858
20140625,0,0.53,0.728
20140626,0,-0.11,-0.008
20140627,0,0.26,0.296
20140630,0,0.07,0.028
20140701,0,0.74,1.094
20140702,0,-0.03,0.054
20140703,0,0.59,0.56
20140707,0,-0.62,-0.944
20140708,0,-0.82,-1.384
20140709,0,0.46,0.712
20140710,0,-0.49,-0.502
20140711,0,0.12,0.426
20140714,0,0.46,0.772
20140715,0,-0.32,-1.214
20140716,0,0.32,0.044
20140717,0,-1.21,-1.648
20140718,0,1.12,1.714
20140721,0,-0.25,-0.142
20140722,0,0.53,0.89
20140723,0,0.19,0.52
20140724,0,0.05,-0.058
20140725,0,-0.53,-0.764
20140728,0,-0.08,-0.386
20140729,0,-0.33,-0.066
20140730,0,0.12,0.216
20140731,0,-2.03,-2.714
20140801,0,-0.32,-0.098
20140804,0,0.74,1.202
20140805,0,-0.84,-0.924
20140806,0,0.02,-0.424
20140807,0,-0.52,-0.376
20140808,0,1.12,1.264
20140811,0,0.4,0.574
20140812,0,-0.23,-0.41
20140813,0,0.69,1.314
20140814,0,0.44,0.224
20140815,0,0,0.318
20140818,0,0.93,1.128
20140819,0,0.49,0.532
20140820,0,0.19,0.046
20140821,0,0.28,-0.446
20140822,0,-0.1,0.188
20140825,0,0.5,0.644
20140826,0,0.19,0.244
20140827,0,0,-0.054
20140828,0,-0.19,-0.214
20140829,0,0.39,0.372
20140902,0,0.06,0.294
20140903,0,-0.14,-0.368
20140904,0,-0.17,-0.284
20140905,0,0.45,0.66
20140908,0,-0.22,0.146
20140909,0,-0.72,-0.612
